"id","Keyword","Name","Full_Address","Street_Address","City","Zip","Municipality","State","Country","Timezone","Pricing","Sub_Title","Description","Summary","Phone_1","Phone_Standard_format","Phone_From_WEBSITE","Email_From_WEBSITE","Website","Domain","First_category","Second_category","Claimed_google_my_business","Reviews_count","Average_rating","Price","Business_Status","Hours","Saturday","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Latitude","Longitude","Coordinates","Plus_Code","Place_ID","Menu_Link","GMB_URL","CID","Google_Knowledge_URL","Kgmid","Image_URL","Favicon","Review_URL","Facebook_URL","Linkedin_URL","Twitter_URL","Instagram_URL","Youtube_URL","Meta_Description","Meta_Keywords","Uuid","Accessibility","Amenities","Service_options","Payments","Offerings","Recycling","From_the_business","Crowd","Planning"
"574","trending clothing business shops in Delhi","Pantaloons (South Extension  New Delhi)","Plot No D4  near Kalyan Jewellers  South Extension  Part 2  New Delhi  Delhi 110049","Plot No D4","New Delhi","110049","near Kalyan Jewellers","Delhi","IN","Asia/Calcutta"," ","पंतालूंस (साउथ एक्सटेंशन, न्यू दिल्ली)"," "," ","01146631250","011 4663 1250",,,"https://stores.pantaloons.com/pantaloons/stores-in-new-delhi/stores-in-south-extension/pantaloons-in-south-extension-new-delhi--8b719773-9e27-4f34-bf44-f9134decc43a/home","stores.pantaloons.com","Clothing store","Baby clothing store","Yes","2670","4.2"," ","open","Wednesday, 11 am-10 pm; Thursday, 11 am-10 pm; Friday, 11 am-10 pm; Saturday, 11 am-10 pm; Sunday, 11 am-10 pm; Monday, 11 am-10 pm; Tuesday, 11 am-10 pm; ","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","Lat 28.5682211","Lng 77.2219554","28.5682211,77.2219554","7JWVH69C+7QP","ChIJEaJgqIjjDDkR6OtmGkqHBJU"," ","https://www.google.com/maps/place/?q=place_id:ChIJEaJgqIjjDDkR6OtmGkqHBJU","10737856163898387432","https://www.google.com/search?kgmid=/g/124ycxzx4","/g/124ycxzx4","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICcvIeQvgE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://stores.pantaloons.com/pantaloons/stores-in-new-delhi/stores-in-south-extension/pantaloons-in-south-extension-new-delhi--8b719773-9e27-4f34-bf44-f9134decc43a/home&size=48","https://search.google.com/local/reviews?placeid=ChIJEaJgqIjjDDkR6OtmGkqHBJU&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN","https://www.facebook.com/pantaloons/","https://www.linkedin.com/company/abfrl/ ","https://twitter.com/pantaloonsindia?lang=en","https://www.instagram.com/pantaloonsfashion/?hl=en","https://www.youtube.com/@PantaloonsFashionIndia","Find closest Pantaloons Store near South Extension, new delhi for best Men's and Women's Clothing, Dresses, Ethnic Wear, Jeans, Jackets, Footwear, and Accessories","Pantaloons near me, Pantaloons Formal wear, Pantaloons Vintage clothing, Pantaloons Clothing stores, Pantaloons Online clothing shopping, Pantaloons Women's clothing, Pantaloons Men's clothing, Pantaloons Kids' clothing, Pantaloons Designer clothing, Pantaloons Affordable clothing, Pantaloons Trendy outfits, Pantaloons Fashion trends, Pantaloons Casual clothing, Pantaloons Fashion accessories","0ahUKEwiK97r-3dKOAxX06jgGHYuTFIIQ8BcI_QIoEQ","Wheelchair-accessible car park | Wheelchair-accessible entrance",,"Delivery | In-store pick-up | In-store shopping | On-site services","Credit cards | Debit cards | NFC mobile payments | Credit cards","Men's clothing | Women's clothing",,,,"Quick visit"
"575","trending clothing business shops in Delhi","Shoppers Stop Ltd - MGF Saket","MGF Metropolitan  Plot No 2  opposite Khirki Extension  Saket District Centre  District Centre  Sector 6  Saket  New Delhi  Delhi 110017","MGF Metropolitan","New Delhi","110017","Plot No 2","Delhi","IN","Asia/Calcutta"," ","शॉपर्स स्टॉप"," "," ","07969727777","079 6972 7777",,,"https://www.shoppersstop.com/?utm_source=store_locator&utm_medium=brand_website","shoppersstop.com","Department store","Clothing store","Yes","5693","4.3"," ","open","Wednesday, 11 am-9:30 pm; Thursday, 11 am-9:30 pm; Friday, 11 am-9:30 pm; Saturday, 11 am-9:30 pm; Sunday, 11 am-9:30 pm; Monday, 11 am-9:30 pm; Tuesday, 11 am-9:30 pm; ","11 am-9:30 pm","11 am-9:30 pm","11 am-9:30 pm","11 am-9:30 pm","11 am-9:30 pm","11 am-9:30 pm","11 am-9:30 pm","Lat 28.529918","Lng 77.2191927","28.529918,77.2191927","7JWVG6H9+XM8","ChIJu2Tr7orhDDkRD0D4XnI6GGA"," ","https://www.google.com/maps/place/?q=place_id:ChIJu2Tr7orhDDkRD0D4XnI6GGA","6924348689976147983","https://www.google.com/search?kgmid=/g/1thvr1t8","/g/1thvr1t8","https://lh5.googleusercontent.com/p/AF1QipPZdU8xGNhVPvlpGK4ABWNOYhk1Ttca95aN22E","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.shoppersstop.com/?utm_source=store_locator&utm_medium=brand_website&size=48","https://search.google.com/local/reviews?placeid=ChIJu2Tr7orhDDkRD0D4XnI6GGA&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN"," "," "," ",,,"Shop online for latest Apparel, Beauty, Home decor, Fragrances, Accessories & Luxury Watches at great prices. Express Delivery for all Prepaid orders.","homepage","0ahUKEwiK97r-3dKOAxX06jgGHYuTFIIQ8BcIpwMoEg","Wheelchair-accessible car park | Wheelchair-accessible entrance",,"Delivery | In-store pick-up | On-site services","Credit cards | Debit cards | NFC mobile payments","Men's clothing",,,,"Quick visit"
"576","trending clothing business shops in Delhi","13 Tera fashion","J 4/37  Khirki Extension  Malviya Nagar  New Delhi  Delhi 110017","J 4/37","New Delhi","110017","New Delhi  Delhi 110017","Delhi","IN","Asia/Calcutta"," ","13 तेरा फैशन"," "," "," ",," "," ",,,"Clothing store"," ","Yes","11","4.1"," ","open","Wednesday, 11 am-10 pm; Thursday, 11 am-10 pm; Friday, 11 am-10 pm; Saturday, 11 am-10 pm; Sunday, 11 am-10 pm; Monday, 11 am-10 pm; Tuesday, 11 am-10 pm; ","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","Lat 28.532339999999998","Lng 77.21622239999999","28.532339999999998,77.21622239999999","7JWVG6J8+WFQ","ChIJb2SUhgjjDDkRjPxBVBjAc68"," ","https://www.google.com/maps/place/?q=place_id:ChIJb2SUhgjjDDkRjPxBVBjAc68","12642659789684472972","https://www.google.com/search?kgmid=/g/11mvndpk84","/g/11mvndpk84","https://lh5.googleusercontent.com/p/AF1QipNd899bSQv6Auoq0qKAwo6N2A3kMyCSyRPibJg1"," ","https://search.google.com/local/reviews?placeid=ChIJb2SUhgjjDDkRjPxBVBjAc68&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwiK97r-3dKOAxX06jgGHYuTFIIQ8BcI0QMoEw",,,,"Credit cards | Debit cards | NFC mobile payments | Credit cards",,,,,"Quick visit"
"577","trending clothing business shops in Delhi","Planet Fashion","Shop No I  40  Veer Savarkar Marg  Central Market  Lajpat Nagar II  Lajpat Nagar  New Delhi  Delhi 110024","Shop No I","New Delhi","110024","40  Veer Savarkar Marg","Delhi","IN","Asia/Calcutta"," ","प्लैनेट फैशन"," "," "," ",,,,"https://www.planetfashionclothing.com/","planetfashionclothing.com","Clothing store"," ","No","36","4.3"," ","open","Wednesday, 10 am-9:30 pm; Thursday, 10 am-9:30 pm; Friday, 10 am-9:30 pm; Saturday, 10 am-9:30 pm; Sunday, 10 am-9:30 pm; Monday, 10 am-9:30 pm; Tuesday, 10 am-9:30 pm; ","10 am-9:30 pm","10 am-9:30 pm","10 am-9:30 pm","10 am-9:30 pm","10 am-9:30 pm","10 am-9:30 pm","10 am-9:30 pm","Lat 28.569826799999998","Lng 77.2424198","28.569826799999998,77.2424198","7JWVH69R+WXM","ChIJWVTEbK3jDDkR66nfTT2hNoE"," ","https://www.google.com/maps/place/?q=place_id:ChIJWVTEbK3jDDkR66nfTT2hNoE","9310806564306659819","https://www.google.com/search?kgmid=/g/11cjp7s89l","/g/11cjp7s89l","https://lh5.googleusercontent.com/p/AZUBA3PMB7QAAAQ0N3hfpg","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.planetfashionclothing.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJWVTEbK3jDDkR66nfTT2hNoE&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwiK97r-3dKOAxX06jgGHYuTFIIQ8BcI8wMoFA",,,"Delivery","Credit cards | Debit cards | NFC mobile payments | Credit cards",,,,,"Quick visit"
"578","trending clothing business shops in Delhi","Most welcome boutique","J-4  40  Khirki Extension  Malviya Nagar  New Delhi  Delhi 110017","J-4","New Delhi","110017","40","Delhi","IN","Asia/Calcutta"," ","मोस्ट वेलकम बोटिके"," "," ","08077100890","080771 00890"," "," ",,,"Boutique"," ","Yes","2","5"," ","open","Wednesday, 11 am-9 pm; Thursday, 11 am-9 pm; Friday, 11 am-9 pm; Saturday, 11 am-9 pm; Sunday, 11 am-9 pm; Monday, 11 am-9 pm; Tuesday, 11 am-9 pm; ","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","Lat 28.532268799999997","Lng 77.2161636","28.532268799999997,77.2161636","7JWVG6J8+WF3","ChIJi78HMgDjDDkR6VxrIRsBMIk"," ","https://www.google.com/maps/place/?q=place_id:ChIJi78HMgDjDDkR6VxrIRsBMIk","9885402398114667753","https://www.google.com/search?kgmid=/g/11vpfb2c6d","/g/11vpfb2c6d","https://lh5.googleusercontent.com/p/AF1QipOzAlPvnz46q4E2Q-HjlwO99gKK8Tbv8aJfbT1f"," ","https://search.google.com/local/reviews?placeid=ChIJi78HMgDjDDkR6VxrIRsBMIk&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwiK97r-3dKOAxX06jgGHYuTFIIQ8BcImgQoFQ",,,,"Cash only",,,,,
"579","trending clothing business shops in Delhi","Genetix Print - A Unit Of ADA Fashion | Delhi","3rd Floor  B91  near Adarsh Hospital  Panchsheel Vihar  Sheikh Sarai Village  Sheikh Sarai  New Delhi  Delhi 110017","3rd Floor","New Delhi","110017","B91","Delhi","IN","Asia/Calcutta"," "," "," "," ","07781941555","077819 41555",,"genetixprint@gmail.com","https://www.genetixprint.com/","genetixprint.com","Custom t-shirt store","Clothing wholesaler","Yes","149","4.9"," ","open","Wednesday, 10 am-7 pm; Thursday, 10 am-7 pm; Friday, 10 am-7 pm; Saturday, 10 am-7 pm; Sunday, Closed; Monday, 10 am-7 pm; Tuesday, 10 am-7 pm; ","10 am-7 pm","Closed","10 am-7 pm","10 am-7 pm","10 am-7 pm","10 am-7 pm","10 am-7 pm","Lat 28.5352329","Lng 77.2226847","28.5352329,77.2226847","7JWVG6PF+33V","ChIJKeSp0Z7jDDkRPtVK0QtosYU"," ","https://www.google.com/maps/place/?q=place_id:ChIJKeSp0Z7jDDkRPtVK0QtosYU","9633595477887472958","https://www.google.com/search?kgmid=/g/11y5fcb010","/g/11y5fcb010","https://lh5.googleusercontent.com/p/AF1QipP4NkL_yK5SQ7tGhJcvxeXrOFo2WEYNfOYl-yrm","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.genetixprint.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJKeSp0Z7jDDkRPtVK0QtosYU&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN","https://www.facebook.com/printgenetix/"," "," ","https://www.instagram.com/genetixprint/","http://www.youtube.com/@GenetixPrint","Genetix Print is here with all the custom printing services in Delhi. Get unique T-shirts, mugs, and mousepads. Order now for quality that stands out!",,"0ahUKEwiK97r-3dKOAxX06jgGHYuTFIIQ8BcIwgQoFg","Wheelchair-accessible seating | Wheelchair-accessible toilet","Wi-Fi","Delivery | In-store pick-up | In-store shopping | On-site services","Cash only | Cheques | Google Pay",,,,,"Appointment required"
"580","trending clothing business shops in Delhi","Fusion Exclusive Wear","Shop No.14 D. D. A. Market Opp. Azad Appartments Near Essex Farm's  I.I.T. Gate  Delhi 110016","Shop No.14 D. D. A. Market Opp. Azad Appartments Near Essex Farm's","I.I.T. Gate, New Delhi","110016","I.I.T. Gate  Delhi 110016","Delhi","IN","Asia/Calcutta"," ","फ्यूजन विशेष पहनें"," "," ","01146040240","011 4604 0240"," "," ",,,"Clothing store"," ","Yes","14","4.3"," ","open","Wednesday, 11 am-9 pm; Thursday, 11 am-9 pm; Friday, 11 am-9 pm; Saturday, 11 am-9 pm; Sunday, 11 am-9 pm; Monday, 11 am-9 pm; Tuesday, 11 am-9 pm; ","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","Lat 28.543477","Lng 77.2011888","28.543477,77.2011888","7JWVG6V2+9FW","ChIJ0efGOg_iDDkRywAPVyNj5aQ"," ","https://www.google.com/maps/place/?q=place_id:ChIJ0efGOg_iDDkRywAPVyNj5aQ","11882012195322527947","https://www.google.com/search?kgmid=/g/11b7tzvcs_","/g/11b7tzvcs_","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDkotLZKw"," ","https://search.google.com/local/reviews?placeid=ChIJ0efGOg_iDDkRywAPVyNj5aQ&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwiK97r-3dKOAxX06jgGHYuTFIIQ8BcI7AQoFw",,,,"Credit cards | Debit cards | NFC mobile payments",,,,,"Quick visit"
"581","trending clothing business shops in Delhi","Fash'Enable'","252A/3  Shahpur Jat Outer Road E  Shahpur Jat  Siri Fort  New Delhi  Delhi 110049","252A/3","New Delhi","110049","Shahpur Jat Outer Road E","Delhi","IN","Asia/Calcutta"," "," "," "," ","08851508930","088515 08930",,,"http://www.fashenable.in/","fashenable.in","Designer Clothing Store"," ","Yes","54","4.7"," ","open","Wednesday, 11 am-7 pm; Thursday, 11 am-7 pm; Friday, 11 am-7 pm; Saturday, 11 am-7 pm; Sunday, Closed; Monday, 11 am-7 pm; Tuesday, 11 am-7 pm; ","11 am-7 pm","Closed","11 am-7 pm","11 am-7 pm","11 am-7 pm","11 am-7 pm","11 am-7 pm","Lat 28.5492968","Lng 77.213617","28.5492968,77.213617","7JWVG6X7+PC9","ChIJFdiitBXiDDkRWw9MWlYDR78"," ","https://www.google.com/maps/place/?q=place_id:ChIJFdiitBXiDDkRWw9MWlYDR78","13782988854007697243","https://www.google.com/search?kgmid=/g/11b6jgk1r2","/g/11b6jgk1r2","https://lh5.googleusercontent.com/p/AF1QipN5TbArpXkIv9tzbizrjHh4Wo4tkKOGUoOijMkc","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.fashenable.in/&size=48","https://search.google.com/local/reviews?placeid=ChIJFdiitBXiDDkRWw9MWlYDR78&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN","http://www.facebook.com/FashEnable"," "," ","http://www.instagram.com/fashenable",,"Fashenable I Designer clothing I Film costume I Styling I Shop online I Bespoke Outfits I Shipping Worldwide","designer clothing, bespoke, pret, couture, costume, film costume, styling, designerclothing online, worldwide shipping","0ahUKEwiK97r-3dKOAxX06jgGHYuTFIIQ8BcIkQUoGA","Wheelchair-accessible entrance",,"Delivery | In-store pick-up","Credit cards | Debit cards | NFC mobile payments",,,"Identifies as women-owned",,"Appointment required"
"582","trending clothing business shops in Delhi","SHREE - She is Special","Shop No : E  2/3  Block E  Malviya Nagar  New Delhi  Delhi 110017","Shop No : E","New Delhi","110017","2/3","Delhi","IN","Asia/Calcutta"," ","श्री - शी इस स्पेशल"," "," ","07827990062","078279 90062",,,"http://byshree.com/","byshree.com","Clothing store","Clothing manufacturer","Yes","42","4.5"," ","open","Wednesday, 10:30 am-9:30 pm; Thursday, 10:30 am-9:30 pm; Friday, 10:30 am-9:30 pm; Saturday, 10:30 am-9:30 pm; Sunday, 10:30 am-9:30 pm; Monday, 10:30 am-9:30 pm; Tuesday, 10:30 am-9:30 pm; ","10:30 am-9:30 pm","10:30 am-9:30 pm","10:30 am-9:30 pm","10:30 am-9:30 pm","10:30 am-9:30 pm","10:30 am-9:30 pm","10:30 am-9:30 pm","Lat 28.5337449","Lng 77.2090438","28.5337449,77.2090438","7JWVG6M5+FJV","ChIJ71U6VRziDDkR0-gfaUMzues"," ","https://www.google.com/maps/place/?q=place_id:ChIJ71U6VRziDDkR0-gfaUMzues","16985663834224060627","https://www.google.com/search?kgmid=/g/11fz5_0gps","/g/11fz5_0gps","https://lh5.googleusercontent.com/p/AF1QipOM8aE29oeRe9ErL7Wj3rTu1lpOiNr_PmvfE3w5","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://byshree.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJ71U6VRziDDkR0-gfaUMzues&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN","https://www.facebook.com/shreeisspecial"," "," ","https://www.instagram.com/shreeisspecial",,"Online Clothes Shopping at Shree. Shop for Women’s Clothing Online, latest Ethnic Wear at the Best Online Shopping Site. Free Shipping, Cash on Delivery.",,"0ahUKEwiK97r-3dKOAxX06jgGHYuTFIIQ8BcIvQUoGQ",,,"Delivery | In-store pick-up | On-site services","Cash only | Credit cards | Debit cards | Google Pay | NFC mobile payments | Credit cards","Women's clothing",,"Identifies as women-owned",,"Quick visit"
"583","trending clothing business shops in Delhi","Maximum Outfits","K-50  Block K  Lajpat Nagar II  Lajpat Nagar  New Delhi  Delhi 110024","K-50","New Delhi","110024","New Delhi  Delhi 110024","Delhi","IN","Asia/Calcutta"," ","मैक्सिमम आउटफिट्स"," "," ","09899295657","098992 95657"," "," ",,,"Clothing store","Men's clothing store","Yes","4478","4.1"," ","open","Wednesday, 10:30 am-9 pm; Thursday, 10:30 am-9 pm; Friday, 10:30 am-9 pm; Saturday, 10:30 am-9 pm; Sunday, 10:30 am-9 pm; Monday, Closed; Tuesday, 10:30 am-9 pm; ","10:30 am-9 pm","10:30 am-9 pm","Closed","10:30 am-9 pm","10:30 am-9 pm","10:30 am-9 pm","10:30 am-9 pm","Lat 28.568316","Lng 77.2442441","28.568316,77.2442441","7JWVH69V+8MH","ChIJv_XFEyPjDDkR_ZXrGIrfDN8"," ","https://www.google.com/maps/place/?q=place_id:ChIJv_XFEyPjDDkR_ZXrGIrfDN8","16072466954395031037","https://www.google.com/search?kgmid=/g/1tptn_5t","/g/1tptn_5t","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIC4q7D0BQ"," ","https://search.google.com/local/reviews?placeid=ChIJv_XFEyPjDDkR_ZXrGIrfDN8&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwiK97r-3dKOAxX06jgGHYuTFIIQ8BcI6QUoGg",,,"Delivery | In-store shopping | On-site services","Credit cards | Debit cards | NFC mobile payments | Credit cards","Men's clothing",,,,"Quick visit"
"584","trending clothing business shops in Delhi","SANKALAN","24A  Sadhna Enclave  Panchsheel Park  New Delhi  Delhi 110017","24A","New Delhi","110017","New Delhi  Delhi 110017","Delhi","IN","Asia/Calcutta"," ","संकलन"," "," ","09811088953","098110 88953",,,"https://www.houseofsankalan.com/","houseofsankalan.com","Men's clothing store","Boutique","Yes","34","4.4"," ","open","Wednesday, 10 am-8 pm; Thursday, 10 am-8 pm; Friday, 10 am-8 pm; Saturday, 10 am-8 pm; Sunday, 10 am-8 pm; Monday, 10 am-8 pm; Tuesday, 10 am-8 pm; ","10 am-8 pm","10 am-8 pm","10 am-8 pm","10 am-8 pm","10 am-8 pm","10 am-8 pm","10 am-8 pm","Lat 28.539776","Lng 77.216595","28.539776,77.216595","7JWVG6Q8+WJ9","ChIJnRjSixjiDDkRMGqOL4Ybcxo"," ","https://www.google.com/maps/place/?q=place_id:ChIJnRjSixjiDDkRMGqOL4Ybcxo","1905897330445281840","https://www.google.com/search?kgmid=/g/11c59_f5ky","/g/11c59_f5ky","https://lh5.googleusercontent.com/p/AF1QipOdt03fCyA-L6PzmZUsvvTGEI3SYk45st-p-BlY","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.houseofsankalan.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJnRjSixjiDDkRMGqOL4Ybcxo&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN","https://www.facebook.com/houseofsankalan1/?ref=br_rs"," "," ","https://www.instagram.com/sankalanofficial",,,,"0ahUKEwiK97r-3dKOAxX06jgGHYuTFIIQ8BcIkQYoGw",,,"Delivery | In-store pick-up","Credit cards | Debit cards | NFC mobile payments | Credit cards","Men's clothing",,,,"Quick visit"
"585","trending clothing business shops in Delhi","w","D-89  Malviya Nagar  New Delhi  Delhi 110017","D-89","New Delhi","110017","New Delhi  Delhi 110017","Delhi","IN","Asia/Calcutta"," ","व"," "," ","09304631899","093046 31899","+917840041638","customercare.tcns@abfrl.adityabirla.com","https://wforwoman.com/","wforwoman.com","Clothing store","Clothing Accessories Store","Yes","50","4.6"," ","open","Wednesday, 11 am-9 pm; Thursday, 11 am-9 pm; Friday, 11 am-9 pm; Saturday, 11 am-9 pm; Sunday, 11 am-9 pm; Monday, 11 am-9 pm; Tuesday, 11 am-9 pm; ","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","11 am-9 pm","Lat 28.5355462","Lng 77.213031","28.5355462,77.213031","7JWVG6P7+666","ChIJ0TTJAh_iDDkRnHQVgR7iFI0"," ","https://www.google.com/maps/place/?q=place_id:ChIJ0TTJAh_iDDkRnHQVgR7iFI0","10165998879524615324","https://www.google.com/search?kgmid=/g/11cn67s80q","/g/11cn67s80q","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICUsrTP0QE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://wforwoman.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJ0TTJAh_iDDkRnHQVgR7iFI0&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN","https://www.facebook.com/WforWoman"," "," ","https://www.instagram.com/wforwoman","https://www.youtube.com/user/WforWoman","Discover W's New Festive Collection of kurtas, sets, dresses, & bottom wear. COD, Easy Returns, and Pan-India delivery. Shop now for exclusive styles!",,"0ahUKEwieoMmH3tKOAxXzxzgGHQn2CzQQ8BcIDCgH","Wheelchair-accessible entrance","Gender-neutral toilets","Delivery | In-store shopping","Credit cards | Debit cards | Google Pay | NFC mobile payments","Women's clothing",,,,"Appointment required | Quick visit"
"586","trending clothing business shops in Delhi","D3 By Dev","1st Floor  253A  Gora St  Shahpur Jat  Siri Fort  New Delhi  Delhi 110049","1st Floor","New Delhi","110049","253A  Gora St","Delhi","IN","Asia/Calcutta"," ","डी 3 तक देव"," "," ","09717771222","097177 71222"," "," ",,,"Men's clothing store"," ","Yes","58","4.7"," ","open","Wednesday, 11 am-8:30 pm; Thursday, 11 am-8:30 pm; Friday, 11 am-8:30 pm; Saturday, 11 am-8:30 pm; Sunday, 11 am-8:30 pm; Monday, 11 am-8:30 pm; Tuesday, 11 am-8:30 pm; ","11 am-8:30 pm","11 am-8:30 pm","11 am-8:30 pm","11 am-8:30 pm","11 am-8:30 pm","11 am-8:30 pm","11 am-8:30 pm","Lat 28.548840199999997","Lng 77.2114417","28.548840199999997,77.2114417","7JWVG6X6+GHP","ChIJ4cIx5RPiDDkRspp5XfJ28Ms"," ","https://www.google.com/maps/place/?q=place_id:ChIJ4cIx5RPiDDkRspp5XfJ28Ms","14695376367432342194","https://www.google.com/search?kgmid=/g/11bxfrddv0","/g/11bxfrddv0","https://lh5.googleusercontent.com/p/AF1QipP03r4YXCHxSKHyNzwDuJ8N8f0OIpsju5O5Wd59"," ","https://search.google.com/local/reviews?placeid=ChIJ4cIx5RPiDDkRspp5XfJ28Ms&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwieoMmH3tKOAxXzxzgGHQn2CzQQ8BcINCgI",,,"Delivery | In-store pick-up","Credit cards | Debit cards | NFC mobile payments","Men's clothing",,,,"Quick visit"
"587","trending clothing business shops in Delhi","Rare Rabbit","PN 2  MGF Metropolitan  Shoppers Stop  near Khirki Extension  Sector 2  Saket  New Delhi  Delhi 110017","PN 2  MGF Metropolitan","New Delhi","110017","Shoppers Stop","Delhi","IN","Asia/Calcutta"," "," "," "," ","08066085236","080660 85236","+918066085236",,"https://stores-rarerabbit.thehouseofrare.com/SIS/rare-rabbit-sector-2-saket-ssl-mgf-saket-rr-men-s-clothes-shop-sector-2-saket-new-delhi-369359/Home","thehouseofrare.com","Men's clothing store"," ","Yes","13","4.3"," ","open","Wednesday, 11 am-10 pm; Thursday, 11 am-10 pm; Friday, 11 am-10 pm; Saturday, 11 am-10 pm; Sunday, 11 am-10 pm; Monday, 11 am-10 pm; Tuesday, 11 am-10 pm; ","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","11 am-10 pm","Lat 28.5298165","Lng 77.2191663","28.5298165,77.2191663","7JWVG6H9+WMF","ChIJN0u_jRfhDDkRdDmOvVdohQg"," ","https://www.google.com/maps/place/?q=place_id:ChIJN0u_jRfhDDkRdDmOvVdohQg","614011650257598836","https://www.google.com/search?kgmid=/g/11wqz1q1cv","/g/11wqz1q1cv","https://lh5.googleusercontent.com/p/AF1QipNPWQAAo-d33Gj1Ou7_t3tQWHvTUNYaJYWrvon5","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://stores-rarerabbit.thehouseofrare.com/SIS/rare-rabbit-sector-2-saket-ssl-mgf-saket-rr-men-s-clothes-shop-sector-2-saket-new-delhi-369359/Home&size=48","https://search.google.com/local/reviews?placeid=ChIJN0u_jRfhDDkRdDmOvVdohQg&q=trending+clothing+business+shops+in+Delhi&authuser=0&hl=en&gl=IN","https://www.facebook.com/1585859508317679"," "," ","https://instagram.com/rarerabbit_in",,"Get accurate address, phone no, timings & nearby Storess of Rare Rabbit, Sector 2, Saket, Sector 2, Saket, New Delhi. Connect with us at +9180660852xx.","Rare Rabbit- SIS Address, Rare Rabbit- SIS location, Rare Rabbit- SIS contact, Rare Rabbit- SIS phone number, Rare Rabbit- SIS Direction, Rare Rabbit- SIS Store, Rare Rabbit- SIS website,Men's Clothes Shop,Clothing Shop,Casual Clothing Store,Youth Clothing Shop,Designer Clothing Store","0ahUKEwieoMmH3tKOAxXzxzgGHQn2CzQQ8BcIXigJ",,,,"Credit cards | NFC mobile payments","Men's clothing",,,,"Quick visit"
