id,Keyword,Name,Full_Address,Street_Address,City,Zip,Municipality,State,Country,Timezone,Sub_Title,Phone_1,Phone_Standard_format,Phone_From_WEBSITE,Email_From_WEBSITE,Website,Domain,First_category,Second_category,Claimed_google_my_business,Reviews_count,Average_rating,Business_Status,Latitude,Longitude,Coordinates,Plus_Code,Place_ID,Menu_Link,GMB_URL,CID,Google_Knowledge_URL,Kgmid,Image_URL,Favicon,Review_URL,Facebook_URL,Linkedin_URL,Twitter_URL,Instagram_URL,Meta_Description,Meta_Keywords,Uuid,Amenities,Payments,Planning,Youtube_URL,Offerings,From_the_business,Crowd,Accessibility,Service_options
353,noida  sector 63 SPA center,Poornima Thai Wellness Spa,Basement Plot no.H/1A/14  above Burger King  H Block  Sector 63  Noida  Uttar Pradesh 201301,Basement Plot no.H/1A/14,Noida,201301,above Burger King,Uttar Pradesh,IN,Asia/Calcutta,पूर्णिमा थाई वैलनेस स्पा,7678551138.00,076785 51138,917678551138.00,,https://poornimathaiwellness.in/,poornimathaiwellness.in,Massage spa,Day spa,Yes,241,4.8,open,Lat 28.6285289,Lng 77.3757251,"28.6285289,77.3757251",7JWVJ9HG+C79,ChIJ7SObmhHlDDkROCzp0WwuRKU, ,https://www.google.com/maps/place/?q=place_id:ChIJ7SObmhHlDDkROCzp0WwuRKU,1.19087E+19,https://www.google.com/search?kgmid=/g/11kr9kp8lb,/g/11kr9kp8lb,https://lh5.googleusercontent.com/p/AF1QipMHZGiaMYC7i0axZrbjt7F9jjRKNq38CZDee78R,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://poornimathaiwellness.in/&size=48",https://search.google.com/local/reviews?placeid=ChIJ7SObmhHlDDkROCzp0WwuRKU&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN,https://www.facebook.com/,https://in.linkedin.com/,https://twitter.com/,https://www.instagram.com/accounts/login/,"Discover a world of serenity and renewal as our skilled therapists melt away tension, leaving you refreshed and revitalized. Book your moment of bliss today.","Massage center in Noida, Best massage spa in Noida, Best spa in Noida, Massage spa in Noida, Spa center in Noida, Spa in swargate, Massage center in kharadi, Spa in kondhawa, Massage spa center in Fatima nagar",0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcItgMoEA,Restroom,,Appointments recommended,https://www.youtube.com/,,Identifies as women-owned,LGBTQ+ friendly,Wheelchair-accessible car park | Wheelchair-accessible entrance,
354,noida  sector 63 SPA center,Spa Center Noida,H-38  H Block  Sector 63  Noida  Uttar Pradesh 201301,H-38,Noida,201301,Noida  Uttar Pradesh 201301,Uttar Pradesh,IN,Asia/Calcutta, , ,,918448586529.00,info@spacenternoida.in.net,https://spacenternoida.in.net/,spacenternoida.in.net,Spa, ,Yes,0,0,open,Lat 28.6290393,Lng 77.3783511,"28.6290393,77.3783511",7JWVJ9HH+J89,ChIJ-6A2NEDlDDkR5b4zLPUPKOg, ,https://www.google.com/maps/place/?q=place_id:ChIJ-6A2NEDlDDkR5b4zLPUPKOg,1.67286E+19,https://www.google.com/search?kgmid=/g/11xnp26mr1,/g/11xnp26mr1,https://lh5.googleusercontent.com/p/AF1QipNSfGfjEoiLdfQVeWTtH9R30rnKyM7JjpJ30Ph9,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://spacenternoida.in.net/&size=48", , , , ,,,,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcI5AMoEQ,,,,,,,,,
355,noida  sector 63 SPA center,Day Dream Spa,Vaibhav Heritage Height  SN43  H Block  Sector 63  Noida  Uttar Pradesh 201307,Vaibhav Heritage Height,Noida,201307,SN43,Uttar Pradesh,IN,Asia/Calcutta, ,9958800361.00,099588 00361,,,https://daydream.spa-center.in/,daydream.spa-center.in,Massage spa, ,Yes,46,5,open,Lat 28.6287675,Lng 77.37575509999999,"28.6287675,77.37575509999999",7JWVJ9HG+G82,ChIJWaSfGAzlDDkRsz08NS316IA, ,https://www.google.com/maps/place/?q=place_id:ChIJWaSfGAzlDDkRsz08NS316IA,9.28894E+18,https://www.google.com/search?kgmid=/g/11w_xrpfrv,/g/11w_xrpfrv,https://lh5.googleusercontent.com/p/AF1QipP27iQB_xRawEKQkkRIJCYqsX1DFCt02-7HBG-W,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://daydream.spa-center.in/&size=48",https://search.google.com/local/reviews?placeid=ChIJWaSfGAzlDDkRsz08NS316IA&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , ,,"Day Dream Spa Sector 63, Noida  is a new opened body massage center and here one may get all the massage therapy at best price trained therapists",,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIhQQoEg,Gender-neutral toilets | Restroom,Google Pay | NFC mobile payments,Appointments recommended,,,Identifies as women-owned,LGBTQ+ friendly,Wheelchair-accessible toilet,On-site services
356,noida  sector 63 SPA center,Aroma Thai Spa-Jaccuzi Massage Spa In Sector 63 Noida,21  BLOCK-E  Body Spa  near Me Petrol Pump  C Block  Phase 2  Industrial Area  Sector 63  Noida  Uttar Pradesh 201301,21  BLOCK-E,Noida,201301,Body Spa,Uttar Pradesh,IN,Asia/Calcutta,अरोमा थाई स्पा,8826780551.00,088267 80551,,,https://aromathaispa63n.blogspot.com/,aromathaispa63n.blogspot.com,Massage spa,Day spa,Yes,32,4.9,open,Lat 28.614594999999998,Lng 77.3723466,"28.614594999999998,77.3723466",7JWVJ97C+RWQ,ChIJi3Boiq_lDDkRIXowa7btaes, ,https://www.google.com/maps/place/?q=place_id:ChIJi3Boiq_lDDkRIXowa7btaes,1.69634E+19,https://www.google.com/search?kgmid=/g/11v116_cpl,/g/11v116_cpl,https://lh5.googleusercontent.com/p/AF1QipOvYgf-8o1r8JKo9ryHI1ep1PvgrS2Aw66AhkR2,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://aromathaispa63n.blogspot.com/&size=48",https://search.google.com/local/reviews?placeid=ChIJi3Boiq_lDDkRIXowa7btaes&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , ,,,,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIswQoEw,Restroom,Credit cards | Debit cards | Google Pay,,,,Identifies as women-owned,LGBTQ+ friendly,,
357,noida  sector 63 SPA center,Organic Spa,Globus-D Complex  G-21 & G-24  near MG SHOWROOM  H Block  Sector 63  Noida  Uttar Pradesh 201301,Globus-D Complex,Noida,201301,G-21 & G-24,Uttar Pradesh,IN,Asia/Calcutta, ,9220175001.00,092201 75001,,,https://organicspa63.blogspot.com/,organicspa63.blogspot.com,Massage spa,Day spa,Yes,157,5,open,Lat 28.6286204,Lng 77.375526,"28.6286204,77.375526",7JWVJ9HG+C6R,ChIJ_Qui-ITlDDkRCzmA4w8QMYo, ,https://www.google.com/maps/place/?q=place_id:ChIJ_Qui-ITlDDkRCzmA4w8QMYo,9.95776E+18,https://www.google.com/search?kgmid=/g/11m5yhqjq7,/g/11m5yhqjq7,https://lh5.googleusercontent.com/p/AF1QipM7uh3Cp49mbN9sSKmfPGgSpylpzA0G7uk6JK7D,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://organicspa63.blogspot.com/&size=48",https://search.google.com/local/reviews?placeid=ChIJ_Qui-ITlDDkRCzmA4w8QMYo&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , ,,,,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcI4QQoFA,Gender-neutral toilets | Restroom,Credit cards | Debit cards | Google Pay | NFC mobile payments | Credit cards,,,Sauna,Identifies as women-owned,LGBTQ+ friendly,Assistive hearing loop | Wheelchair-accessible seating | Wheelchair-accessible toilet,
358,noida  sector 63 SPA center,Art is my therapy Spa,BLOCK-H  224  Wazidpur  Rasoolpur  Sector 63  Noida  Uttar Pradesh 201301,BLOCK-H,Noida,201301,224,Uttar Pradesh,IN,Asia/Calcutta,Art is my therapy Spa- Spa near me| Massage spa in Sector 63 Noida,7838370705.00,078383 70705,,,https://arttherapy234.blogspot.com/,arttherapy234.blogspot.com,Spa,Day spa,Yes,17,4.8,open,Lat 28.6230415,Lng 77.3765849,"28.6230415,77.3765849",7JWVJ9FG+6J8,ChIJK_Qsq5HlDDkRYKDbqvfHgvo, ,https://www.google.com/maps/place/?q=place_id:ChIJK_Qsq5HlDDkRYKDbqvfHgvo,1.80512E+19,https://www.google.com/search?kgmid=/g/11vqwtgl65,/g/11vqwtgl65,https://lh5.googleusercontent.com/p/AF1QipNv-CbcExbBuhFROdWC1J6-CqwPF9w4m4OF837b,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://arttherapy234.blogspot.com/&size=48",https://search.google.com/local/reviews?placeid=ChIJK_Qsq5HlDDkRYKDbqvfHgvo&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , ,,,,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIjwUoFQ,Gender-neutral toilets | Restroom,Credit cards | Debit cards | Google Pay | Credit cards,Appointment required,,,Identifies as women-owned,LGBTQ+ friendly,Wheelchair-accessible seating | Wheelchair-accessible toilet,
359,noida  sector 63 SPA center,Simply Nirvana Spa,H-1A/35  H Block  Sector 63  Noida  Uttar Pradesh 201301,H-1A/35,Noida,201301,Noida  Uttar Pradesh 201301,Uttar Pradesh,IN,Asia/Calcutta,सिम्पली निर्वाण,9650494747.00,096504 94747, , ,,,Massage spa,Spa,Yes,42,4.7,open,Lat 28.6265017,Lng 77.37548369999999,"28.6265017,77.37548369999999",7JWVJ9GG+J55,ChIJfbErnEXlDDkRmmfaAkdlQN4, ,https://www.google.com/maps/place/?q=place_id:ChIJfbErnEXlDDkRmmfaAkdlQN4,1.60149E+19,https://www.google.com/search?kgmid=/g/11trtftvdk,/g/11trtftvdk,https://lh5.googleusercontent.com/p/AF1QipN4G8ws6GJ77q4t7cXLgicMx7Bkq22BNa0hYjl7, ,https://search.google.com/local/reviews?placeid=ChIJfbErnEXlDDkRmmfaAkdlQN4&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , , , , ,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIvgUoFg,Restroom,Debit cards | NFC mobile payments | Credit cards,, ,,,,,
360,noida  sector 63 SPA center,Classic Unisex Day Spa,Shop no  16  block 16  Electric metro station  A Block  Sector 63  Noida  Uttar Pradesh 201301,Shop no  16  block 16,Noida,201301,Electric metro station,Uttar Pradesh,IN,Asia/Calcutta,क्लासिक यूनिसेक्स डे स्पा,9560970110.00,095609 70110,,,http://classic-unlsex-wellness-spa.blogspot.com/,classic-unlsex-wellness-spa.blogspot.com,Spa,Day spa,Yes,28,4.9,open,Lat 28.6209357,Lng 77.3811511,"28.6209357,77.3811511",7JWVJ9CJ+9FC,ChIJ1Rvul7DvDDkRdC058IoWAL0, ,https://www.google.com/maps/place/?q=place_id:ChIJ1Rvul7DvDDkRdC058IoWAL0,1.36189E+19,https://www.google.com/search?kgmid=/g/11kjgpy6z0,/g/11kjgpy6z0,https://lh5.googleusercontent.com/p/AF1QipPNkvg1rPx2iU8-MRQNerO0nJsDWRsnFc4wz5o3,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://classic-unlsex-wellness-spa.blogspot.com/&size=48",https://search.google.com/local/reviews?placeid=ChIJ1Rvul7DvDDkRdC058IoWAL0&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , ,,,,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcI5QUoFw,Gender-neutral toilets | Restroom,Google Pay,,,,Identifies as women-owned,LGBTQ+ friendly,Wheelchair-accessible seating | Wheelchair-accessible toilet,
361,noida  sector 63 SPA center,Arohi home massage service and body spa center,Shop No. G-20  GLOBUS-D BUILDING  H Block  Sector 63  Noida  Uttar Pradesh 201301,Shop No. G-20,Noida,201301,GLOBUS-D BUILDING,Uttar Pradesh,IN,Asia/Calcutta, , ,,918810323603.00,,https://arohihomemassageserviceandbodyspacenter.in.net/,arohihomemassageserviceandbodyspacenter.in.net,Spa, ,Yes,2,5,open,Lat 28.6261489,Lng 77.37853319999999,"28.6261489,77.37853319999999",7JWVJ9GH+FC3,ChIJdSRy-8XvDDkRrR5lH1bmYLI, ,https://www.google.com/maps/place/?q=place_id:ChIJdSRy-8XvDDkRrR5lH1bmYLI,1.28535E+19,https://www.google.com/search?kgmid=/g/11xklb6ncn,/g/11xklb6ncn,https://lh5.googleusercontent.com/p/AF1QipOrYhoT2J5cRqRVg3ngIoWmAxWzWXf2i219sQba,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://arohihomemassageserviceandbodyspacenter.in.net/&size=48",https://search.google.com/local/reviews?placeid=ChIJdSRy-8XvDDkRrR5lH1bmYLI&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , ,,,,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIkwYoGA,,,,,,,,,
362,noida  sector 63 SPA center,Vish spa & wellness centre,electronic city metro  Block H  H Block  Sector 63  Noida  Uttar Pradesh 201301,electronic city metro,Noida,201301,Noida  Uttar Pradesh 201301,Uttar Pradesh,IN,Asia/Calcutta,विष स्पा & वैलनेस सेंटर,9354332605.00,093543 32605, , ,,,Massage spa, ,Yes,9,4.1,open,Lat 28.6284398,Lng 77.3757024,"28.6284398,77.3757024",7JWVJ9HG+97G,ChIJi1vp3bblDDkRoSISpWtS27I, ,https://www.google.com/maps/place/?q=place_id:ChIJi1vp3bblDDkRoSISpWtS27I,1.2888E+19,https://www.google.com/search?kgmid=/g/11vx2hrfg0,/g/11vx2hrfg0,https://lh5.googleusercontent.com/p/AF1QipOIPQhMj2Km0ybdTKlCCHNo-t1Pg1cicQkX6-Qg, ,https://search.google.com/local/reviews?placeid=ChIJi1vp3bblDDkRoSISpWtS27I&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , , , , ,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIuQYoGQ,Restroom,Google Pay,, ,,,,,
363,noida  sector 63 SPA center,Rose Day Spa,1st Floor  Block : H  H1A/16  Sector 63 Rd  above Burger King  H Block  Sector 62  Noida  Uttar Pradesh 201301,1st Floor,Noida,201301,Block : H,Uttar Pradesh,IN,Asia/Calcutta,रोज डे,9560089035.00,095600 89035,919560089035.00,,https://roseday.site/,roseday.site,Spa,Massage spa,Yes,95,4.8,open,Lat 28.6259187,Lng 77.3755917,"28.6259187,77.3755917",7JWVJ9GG+968,ChIJeUdo9dLlDDkR_G7gX21MKG4, ,https://www.google.com/maps/place/?q=place_id:ChIJeUdo9dLlDDkR_G7gX21MKG4,7.93768E+18,https://www.google.com/search?kgmid=/g/11k4r_pqcr,/g/11k4r_pqcr,https://lh5.googleusercontent.com/p/AF1QipO24t6GEI_28kKF6Nl9qWGVp24vD89evgzuYds_,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://roseday.site/&size=48",https://search.google.com/local/reviews?placeid=ChIJeUdo9dLlDDkR_G7gX21MKG4&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN,https://www.facebook.com/, ,https://twitter.com,https://www.instagram.com/,"Experience the ultimate relaxation at The Rose Day Spa , the best spa in Noida. Indulge in our luxurious treatments and leave feeling refreshed and revitalized.","spa in Noida, best spa, full body massage",0ahUKEwigpOnS2tKOAxWMZmwGHZe_NKcQ8BcICygG,Restroom,Credit cards | Debit cards | Google Pay | NFC mobile payments | Credit cards,,,,,LGBTQ+ friendly,,
364,noida  sector 63 SPA center,Male Body Spa,Shop  16H/A  H  Basement  opposite burger King  H Block  Sector 63  Noida  Uttar Pradesh 201301,Shop  16H/A  H  Basement,Noida,201301,opposite burger King,Uttar Pradesh,IN,Asia/Calcutta,मेल बॉडी स्पा,9958132635.00,099581 32635, , ,,,Massage spa,Day spa,Yes,21,5,open,Lat 28.6286249,Lng 77.37547169999999,"28.6286249,77.37547169999999",7JWVJ9HG+C5X,ChIJdVDam5flDDkRz6yHjknAgac, ,https://www.google.com/maps/place/?q=place_id:ChIJdVDam5flDDkRz6yHjknAgac,1.20701E+19,https://www.google.com/search?kgmid=/g/11sthh48f_,/g/11sthh48f_,https://lh5.googleusercontent.com/p/AF1QipPPSd9llse4u1z0ZgxvIdhi38oNkpRKdMl6zZ45, ,https://search.google.com/local/reviews?placeid=ChIJdVDam5flDDkRz6yHjknAgac&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , , , , ,0ahUKEwigpOnS2tKOAxWMZmwGHZe_NKcQ8BcINygH,Restroom,,Appointment required, ,Sauna,Identifies as women-owned,LGBTQ+ friendly,Wheelchair-accessible toilet,
