"id","Keyword","Name","Full_Address","Street_Address","City","Zip","Municipality","State","Country","Timezone","Sub_Title","Phone_1","Phone_Standard_format","Phone_From_WEBSITE","Email_From_WEBSITE","Website","Domain","First_category","Second_category","Claimed_google_my_business","Reviews_count","Average_rating","Business_Status","Hours","Saturday","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Latitude","Longitude","Coordinates","Plus_Code","Place_ID","Menu_Link","GMB_URL","CID","Google_Knowledge_URL","Kgmid","Image_URL","Favicon","Review_URL","Facebook_URL","Linkedin_URL","Twitter_URL","Instagram_URL","Youtube_URL","Meta_Description","Meta_Keywords","Uuid","Accessibility","Offerings","Service_options","Planning","From_the_business","Amenities","Crowd"
"675","Schools in lucknow","Red Rose Public School","QVQM+JH4  Vishnulok Colony  Vijay Nagar Colony  Krishna Nagar  Alambagh  Lucknow  Uttar Pradesh 226023","QVQM+JH4","Lucknow","226023","Lucknow  Uttar Pradesh 226023","Uttar Pradesh","IN","Asia/Calcutta","रेड रोज़ पब्लिक विद्यालय","09956208333","099562 08333",,,"http://www.redrosepublicschool.edu.in/","redrosepublicschool.edu.in","Educational institution"," ","Yes","251","4.1","open","Wednesday, 7 am-5 pm; Thursday, 7 am-5 pm; Friday, 7 am-5 pm; Saturday, 7 am-5 pm; Sunday, Closed; Monday, 7 am-5 pm; Tuesday, 7 am-5 pm; ","7 am-5 pm","Closed","7 am-5 pm","7 am-5 pm","7 am-5 pm","7 am-5 pm","7 am-5 pm","Lat 26.789254","Lng 80.88377609999999","26.789254,80.88377609999999","7MR2QVQM+PG2","ChIJ3wd9N_gOnDkRtKUkbxk6VVM"," ","https://www.google.com/maps/place/?q=place_id:ChIJ3wd9N_gOnDkRtKUkbxk6VVM","6004769559081690548","https://www.google.com/search?kgmid=/g/1tdxj89y","/g/1tdxj89y","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDhlM2jfA","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.redrosepublicschool.edu.in/&size=48","https://search.google.com/local/reviews?placeid=ChIJ3wd9N_gOnDkRtKUkbxk6VVM&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIiQMoEA","Wheelchair-accessible car park | Wheelchair-accessible entrance",,,,,,
"676","Schools in lucknow","Lucknow convent school","Khadra  Lucknow  Uttar Pradesh 226020","Khadra","Lucknow","226020","Lucknow  Uttar Pradesh 226020","Uttar Pradesh","IN","Asia/Calcutta","लखनऊ कॉन्वेंट विद्यालय","09696166634","096961 66634",,,"https://lucknowconventschool.co.in/","lucknowconventschool.co.in","School"," ","Yes","53","4.2","open","Wednesday, 8 am-1:30 am; Thursday, 8 am-1:30 am; Friday, 8 am-1:30 pm; Saturday, 8 am-1:30 pm; Sunday, Closed; Monday, 8 am-1:30 am; Tuesday, 8 am-1:30 am; ","8 am-1:30 pm","Closed","8 am-1:30 am","8 am-1:30 am","8 am-1:30 am","8 am-1:30 am","8 am-1:30 pm","Lat 26.881203","Lng 80.9153895","26.881203,80.9153895","7MR2VWJ8+F5J","ChIJVcIVBx5WmTkRr5LTZhxfems"," ","https://www.google.com/maps/place/?q=place_id:ChIJVcIVBx5WmTkRr5LTZhxfems","7744607084805853871","https://www.google.com/search?kgmid=/g/11c6ly5f10","/g/11c6ly5f10","https://lh5.googleusercontent.com/p/AF1QipP417jonZI-xoNn0CpRQiqaXiuoZRZ1h5ZXMri1","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://lucknowconventschool.co.in/&size=48","https://search.google.com/local/reviews?placeid=ChIJVcIVBx5WmTkRr5LTZhxfems&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," ",,,,,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIsQMoEQ","Wheelchair-accessible car park | Wheelchair-accessible entrance",,"On-site services",,,,
"677","Schools in lucknow","City Montessori School","1/7  Padera - Raebareli Rd  Vardan Khand  Sector 1  Gomti Nagar  Lucknow  Uttar Pradesh 226010","1/7  Padera - Raebareli Rd","Lucknow","226010","Lucknow  Uttar Pradesh 226010","Uttar Pradesh","IN","Asia/Calcutta","सिटी मोन्टेसरी स्कूल","05222390093","0522 239 0093"," "," ",,,"School"," ","No","338","3.8","open","Wednesday, 8 am-4 pm; Thursday, 8 am-4 pm; Friday, 8 am-4 pm; Saturday, 8 am-4 pm; Sunday, Closed; Monday, 8 am-4 pm; Tuesday, 8 am-4 pm; ","8 am-4 pm","Closed","8 am-4 pm","8 am-4 pm","8 am-4 pm","8 am-4 pm","8 am-4 pm","Lat 26.8403496","Lng 81.00947409999999","26.8403496,81.00947409999999","7MR3R2R5+4QQ","ChIJey_g_d_imzkRgGJ2CYZmAXI"," ","https://www.google.com/maps/place/?q=place_id:ChIJey_g_d_imzkRgGJ2CYZmAXI","8214959921170899584","https://www.google.com/search?kgmid=/g/1pt_2lp1s","/g/1pt_2lp1s","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDq6tXL4AE"," ","https://search.google.com/local/reviews?placeid=ChIJey_g_d_imzkRgGJ2CYZmAXI&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcI1wMoEg","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CISCE ",,,,,
"678","Schools in lucknow","GD Goenka Public School","Sector-B  Amar Shaheed Path  Golf City  Ansal API  Lucknow  Uttar Pradesh 226030","Sector-B","Lucknow, Muzaffar Nagar Ghusval","226030","Amar Shaheed Path","Uttar Pradesh","IN","Asia/Calcutta","जी. डी. गोयनका पब्लिक स्कूल","08090809080","080908 09080","+918090809080 | +919984444091","gdgoenkalko@yahoo.com | gdgoenkalko.mahanagar@gmail.com","http://gdgoenkalko.com/","gdgoenkalko.com","CBSE School","International school","Yes","0","0","open","Wednesday, 8 am-3:30 pm; Thursday, 8 am-3:30 pm; Friday, 8 am-3:30 pm; Saturday, 8 am-3:30 pm; Sunday, Closed; Monday, 8 am-3:30 pm; Tuesday, 8 am-3:30 pm; ","8 am-3:30 pm","Closed","8 am-3:30 pm","8 am-3:30 pm","8 am-3:30 pm","8 am-3:30 pm","8 am-3:30 pm","Lat 26.7797836","Lng 80.9912307","26.7797836,80.9912307","7MR2QXHR+WF9","ChIJlS-0EbLkmzkRrnyRUuRULy4","https://gdgoenkalko.com/","https://www.google.com/maps/place/?q=place_id:ChIJlS-0EbLkmzkRrnyRUuRULy4","3327971989264628910","https://www.google.com/search?kgmid=/g/1tp_4t68","/g/1tp_4t68","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICKjP3MuAE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://gdgoenkalko.com/&size=48"," ","https://www.facebook.com/gdgoenka.lucknow/","https://www.linkedin.com/company/gdgoenkapublicschool-lucknow","https://twitter.com/gdgoenkalko","https://www.instagram.com/lucknowgdgoenka/","https://www.youtube.com/channel/UCCOUtYzjx-BBHCoZTDnHWwQ","Admission is open for the session 2023-24 in the Best CBSE School GD Goenka Public School, Lucknow. The Top School in Lucknow will provide",,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcI_wMoEw","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ","On-site services",,"Identifies as women-owned",,
"679","Schools in lucknow","Lucknow Public College","A-70  Karbala Rd  Block A  Rajajipuram  Lucknow  Uttar Pradesh 226017","A-70  Karbala Rd","Lucknow","226017","Lucknow  Uttar Pradesh 226017","Uttar Pradesh","IN","Asia/Calcutta","लखनऊ पब्लिक स्कूल","08188037816","081880 37816",,,"http://ablock.lucknowpublicschoolsandcolleges.com/","lucknowpublicschoolsandcolleges.com","School"," ","Yes","294","4.1","open","Wednesday, 8 am-2 pm; Thursday, 8 am-2 pm; Friday, 8 am-2 pm; Saturday, 8 am-2 pm; Sunday, Closed; Monday, 8 am-2 pm; Tuesday, 8 am-2 pm; ","8 am-2 pm","Closed","8 am-2 pm","8 am-2 pm","8 am-2 pm","8 am-2 pm","8 am-2 pm","Lat 26.832685599999998","Lng 80.88821039999999","26.832685599999998,80.88821039999999","7MR2RVMQ+37G","ChIJS9O4UH3-mzkRyo-h92A7SBA"," ","https://www.google.com/maps/place/?q=place_id:ChIJS9O4UH3-mzkRyo-h92A7SBA","1173252990587473866","https://www.google.com/search?kgmid=/g/11bxf44vr8","/g/11bxf44vr8","https://lh5.googleusercontent.com/p/AF1QipOWiMOcJBXG76fDJHyuXsYlYaDBaIu3wLdTi8s","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://ablock.lucknowpublicschoolsandcolleges.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJS9O4UH3-mzkRyo-h92A7SBA&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/lucknowpublicschoolsandcollegeshttps://www.facebook.com/LucknowPublicSchool.official","https://www.linkedin.com/school/lpslpcofficial/mycompany/","https://twitter.com/home?lang=en","https://www.instagram.com/lucknowpublicschool.official/","https://www.youtube.com/watch?v=ZBahO3hQkGQ",,,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIqwQoFA","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE  | Affiliated with CISCE ",,,,,
"680","Schools in lucknow","SKD Academy | Top Schools in Lucknow | Best CBSE Schools in Lucknow","Vikrant Khand 3  Gomti Nagar Faizabad Road  Amar Shaheed Path  near Awadh Bus Station  Lucknow  Uttar Pradesh 226010","Vikrant Khand 3  Gomti Nagar Faizabad Road","Lucknow","226010","Amar Shaheed Path","Uttar Pradesh","IN","Asia/Calcutta","एस के डी अकादमी","07080111579","070801 11579","+917080111579","vkdesk@skdacademy.ac.in","https://www.skdacademia.org/skd-vikrant-khand/","skdacademia.org","CBSE School","College","Yes","0","0","open","Wednesday, 8 am-5 pm; Thursday, 8 am-5 pm; Friday, 8 am-5 pm; Saturday, 8 am-5 pm; Sunday, 8 am-5 pm; Monday, 8 am-5 pm; Tuesday, 8 am-5 pm; ","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","Lat 26.872234799999998","Lng 81.0167407","26.872234799999998,81.0167407","7MR3V2C8+VMX","ChIJxdsUHZHimzkR-sRkmFCT1BM"," ","https://www.google.com/maps/place/?q=place_id:ChIJxdsUHZHimzkR-sRkmFCT1BM","1428928956146697466","https://www.google.com/search?kgmid=/g/1tfl81rw","/g/1tfl81rw","https://lh5.googleusercontent.com/p/AF1QipOPleiMxAYrPEorgkMAYOCUolHy2OEPKW3dE0zM","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.skdacademia.org/skd-vikrant-khand/&size=48"," ","https://www.facebook.com/SKDAcademylucknow"," "," ","https://www.instagram.com/skdacademia/","https://www.youtube.com/@SKD_Academy","Top CBSE Schools in Lucknow","Best School In Lucknow, Best School In Rajajipuram, Best CBSE School Near Me, CBSE board admission in Vrindavan Yojna, Raebareli Road, Lucknow, Admission for CBSE Board Class 11 in Vrindavan Yojna, Raebareli Road, Lucknow, Admission for CBSE Board Class 9 in Vrindavan Yojna, Raebareli Road, Lucknow, Admission for CBSE Board Class 5 in Vrindavan Yojna, Raebareli Road, Lucknow, Best CBSC Board Results of Class 10th in Vrindavan Yojna, Raebareli Road, Lucknow, Best CBSC Board Results of Class 12th in Vrindavan Yojna, Raebareli Road, Lucknow, Fee Structure of Schools in Vrindavan Yojna, Raebareli Road, Lucknow, Fee Structure of CBSE Board Class 11 in Vrindavan Yojna, Raebareli Road, Lucknow, Fee Structure of CBSE Board Class 9 in Vrindavan Yojna, Raebareli Road, Lucknow, Fee Structure of CBSE Board Class 5 in Vrindavan Yojna, Raebareli Road, Lucknow, Best School Facility in Vrindavan Yojna, Raebareli Road, Lucknow, Best Performing School in Vrindavan Yojna, Raebareli Road, Lucknow, Join Us For The Best Performance of Your Children, Teacher's Vacancies in Vrindavan Yojna, Raebareli Road, Lucknow, Teacher's Vacancies in Vrindavan Yojna, Raebareli Road, Lucknow, Join SKD Academy in Vrindavan Yojna, Raebareli Road, Lucknow To Build A Great Career In Teaching, CBSE board admission in Vikrant Khand, Gomti Nagar, Lucknow, Admission for CBSE Board Class 11 in Vikrant Khand, Gomti Nagar, Lucknow, Admission for CBSE Board Class 9 in Vikrant Khand, Gomti Nagar, Lucknow, Admission for CBSE Board Class 5 in Vikrant Khand, Gomti Nagar, Lucknow, Best CBSC Board Results of Class 10th in Vikrant Khand, Gomti Nagar, Lucknow, Best CBSC Board Results of Class 12th in Vikrant Khand, Gomti Nagar, Lucknow, Fee Structure of Schools in Vikrant Khand, Gomti Nagar, Lucknow, Fee Structure of CBSE Board Class 11 in Vikrant Khand, Gomti Nagar, Lucknow, Fee Structure of CBSE Board Class 9 in Vikrant Khand, Gomti Nagar, Lucknow, Fee Structure of CBSE Board Class 5 in Vikrant Khand, Gomti Nagar, Lucknow, Best School Facility in Vikrant Khand, Gomti Nagar, Lucknow, Best Performing School in Vikrant Khand, Gomti Nagar, Lucknow, Join Us For The Best Performance of Your Childrens, Teacher's Vacancies in Vikrant Khand, Gomti Nagar, Lucknow, Join SKD Academy in Vikrant Khand, Gomti Nagar, Lucknow To Build A Great Career In Teaching, CBSE board admission in Rajajipuram, Lucknow, Admission for CBSE Board Class 11 in Rajajipuram, Lucknow, Admission for CBSE Board Class 9 in Rajajipuram, Lucknow, Admission for CBSE Board Class 5 in Rajajipuram, Lucknow, Best CBSC Board Results of Class 10th in Rajajipuram, Lucknow, Best CBSC Board Results of Class 12th in Rajajipuram, Lucknow, Fee Structure of Schools in Rajajipuram, Lucknow, Fee Structure of CBSE Board Class 11 in Rajajipuram, Lucknow, Fee Structure of CBSE Board Class 9 in Rajajipuram, Lucknow, Fee Structure of CBSE Board Class 5 in Rajajipuram, Lucknow, Best School Facility in Rajajipuram, Lucknow, Best Performing School in Rajajipuram, Lucknow, Join Us For The Best Performance of Your Childrens, Teacher's Vacancies in Rajajipuram, Lucknow, Join SKD Academy in Rajajipuram, Lucknow To Build A Great Career In Teaching,top 10 cbse schools in lucknow,best cbse schools in lucknow,top 10 schools in lucknow cbse,good cbse schools in lucknow,CBSE schools near me,icse schools near me,icse board schools in lucknow,top 5 cbse schools in lucknow,good cbse schools in lucknow,top 10 schools in lucknow cbse,cbse schools in lucknow,icse schools near me with fees,icse board schools in lucknow,day boarding schools in lucknow,nearest cbse schools in my location,top schools of lucknow,pin code lucknow,top 5 cbse schools in lucknow,top ten schools in lucknow,top 5 schools in lucknow,lucknow best schools,good cbse schools near me,lucknow top schools list,nursery schools near me,list of schools in lucknow,list of lucknow schools,top 20 schools in lucknow,play schools in lucknow,best schools in uttar pradesh","0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcI0wQoFQ","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ",,,,,
"681","Schools in lucknow","St. Mary's School","Sagar Bihar  Para Rd  Arjun Vihar  Devpur  Rajajipuram  Lucknow  Uttar Pradesh 226017","Sagar Bihar","Lucknow","226017","Para Rd","Uttar Pradesh","IN","Asia/Calcutta","St. मेरीज़ विद्यालय","05222416684","0522 241 6684",,"stmarysschool1994@gmail.com","https://stmaryschoolpara.in/","stmaryschoolpara.in","School","Educational institution","Yes","129","3.9","open","Wednesday, 8 am-1 pm; Thursday, 8 am-1 pm; Friday, 8 am-1 pm; Saturday, 8 am-1 pm; Sunday, Closed; Monday, 8 am-1 pm; Tuesday, 8 am-1 pm; ","8 am-1 pm","Closed","8 am-1 pm","8 am-1 pm","8 am-1 pm","8 am-1 pm","8 am-1 pm","Lat 26.829831","Lng 80.8746558","26.829831,80.8746558","7MR2RVHF+WVJ","ChIJS7bz9PP-mzkREeDEIjKTEIQ"," ","https://www.google.com/maps/place/?q=place_id:ChIJS7bz9PP-mzkREeDEIjKTEIQ","9516267856174833681","https://www.google.com/search?kgmid=/g/1hjgg4shg","/g/1hjgg4shg","https://lh5.googleusercontent.com/p/AF1QipNFsvIzdTBQAafks6XGzSErk4TPbabexoPqaSY2","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://stmaryschoolpara.in/&size=48","https://search.google.com/local/reviews?placeid=ChIJS7bz9PP-mzkREeDEIjKTEIQ&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/stmarysschoolpara"," "," ",,,,,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcI-gQoFg","Wheelchair-accessible car park | Wheelchair-accessible entrance",,,,,,
"682","Schools in lucknow","St. Paul's College","10  Subhash Marg  Dilkusha Marg  Post  Lucknow  Uttar Pradesh 226002","10  Subhash Marg","Lucknow","226002","Dilkusha Marg","Uttar Pradesh","IN","Asia/Calcutta","सेंट पॉल्स कॉलेज, लखनऊ","05222483228","0522 248 3228",,"stpaulslko@rediffmail.com | stpaulslko@gmail.com","https://stpaulcollege.edu.in/admission/","stpaulcollege.edu.in","College"," ","Yes","346","4.6","open","Wednesday, 6 am-2:30 pm; Thursday, 6 am-2:30 pm; Friday, 6 am-2:30 pm; Saturday, 6 am-2:30 pm; Sunday, Closed; Monday, 6 am-2:30 pm; Tuesday, 6 am-2:30 pm; ","6 am-2:30 pm","Closed","6 am-2:30 pm","6 am-2:30 pm","6 am-2:30 pm","6 am-2:30 pm","6 am-2:30 pm","Lat 26.8122303","Lng 80.94746049999999","26.8122303,80.94746049999999","7MR2RW6W+VXW","ChIJXyjcLPL8mzkRUv0IRwDcz0k"," ","https://www.google.com/maps/place/?q=place_id:ChIJXyjcLPL8mzkRUv0IRwDcz0k","5318711578697727314","https://www.google.com/search?kgmid=/g/1pp2vls64","/g/1pp2vls64","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDu7umlugE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://stpaulcollege.edu.in/admission/&size=48","https://search.google.com/local/reviews?placeid=ChIJXyjcLPL8mzkRUv0IRwDcz0k&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," ",,,,,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIpAUoFw","Wheelchair-accessible car park | Wheelchair-accessible entrance",,,,,,
"683","Schools in lucknow","Summerville School","Block B  Rajajipuram  Lucknow  Uttar Pradesh 226017","Block B  Rajajipuram","Lucknow","226017","Lucknow  Uttar Pradesh 226017","Uttar Pradesh","IN","Asia/Calcutta","ममता मॉडर्न स्कूल"," ",,"+919198858000","schoolsummerville@gmail.com","http://www.summervilleschool.org/","summervilleschool.org","School center"," ","Yes","77","4.5","open","Wednesday, 8 am-3 pm; Thursday, 8 am-3 pm; Friday, 8 am-3 pm; Saturday, 8 am-3 pm; Sunday, Closed; Monday, 8 am-3 pm; Tuesday, 8 am-3 pm; ","8 am-3 pm","Closed","8 am-3 pm","8 am-3 pm","8 am-3 pm","8 am-3 pm","8 am-3 pm","Lat 26.8349476","Lng 80.8842633","26.8349476,80.8842633","7MR2RVMM+XPC","ChIJg_v-UmL-mzkRDeHcsQ-Oubg"," ","https://www.google.com/maps/place/?q=place_id:ChIJg_v-UmL-mzkRDeHcsQ-Oubg","13310826371729907981","https://www.google.com/search?kgmid=/g/11c3tjv5vk","/g/11c3tjv5vk","https://lh5.googleusercontent.com/p/AF1QipOfNigWCiXG5z_C9mU5JmbQ-7r8AT62UgL8joRB","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.summervilleschool.org/&size=48","https://search.google.com/local/reviews?placeid=ChIJg_v-UmL-mzkRDeHcsQ-Oubg&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/schoolsummerville"," "," ","https://www.instagram.com/Summerville_school_/","https://www.youtube.com/@summervilleschool","Best - K-12 School for your child The Journey to Holistic Excellence, Begins Here! Building Foundations, Empowering Futures. We believe in unlocking the potential within every child, from the earliest years. Cultivating future leaders, where strong minds and noble characters truly flourish Apply Today Play Video About Us Top Choice For Children We build strong",,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIzgUoGA","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CISCE ",,,,,
"684","Schools in lucknow","Lotus World Public School","Ansal API  Golf City  Sector A  Lucknow  Uttar Pradesh 226030","Ansal API","Lucknow, Devamau","226030","Lucknow  Uttar Pradesh 226030","Uttar Pradesh","IN","Asia/Calcutta","लोटस वर्ल्ड पब्लिक विद्यालय","07339717339","073397 17339","+917339717339","lwpslko@gmail.com","https://www.lotusworld.in/","lotusworld.in","School"," ","Yes","23","4.2","open","Wednesday, 7:30 am-4:30 pm; Thursday, 7:30 am-4:30 pm; Friday, 7:30 am-4:30 pm; Saturday, 7:30 am-4:30 pm; Sunday, Closed; Monday, 7:30 am-4:30 pm; Tuesday, 7:30 am-4:30 pm; ","7:30 am-4:30 pm","Closed","7:30 am-4:30 pm","7:30 am-4:30 pm","7:30 am-4:30 pm","7:30 am-4:30 pm","7:30 am-4:30 pm","Lat 26.772622499999997","Lng 80.99586889999999","26.772622499999997,80.99586889999999","7MR2QXFW+28X","ChIJi6h3o5HlmzkR-zQasfdRnrc"," ","https://www.google.com/maps/place/?q=place_id:ChIJi6h3o5HlmzkR-zQasfdRnrc","13231102879531152635","https://www.google.com/search?kgmid=/g/11gxskxd3w","/g/11gxskxd3w","https://lh5.googleusercontent.com/p/AF1QipO3HF-OFxTcxxXlr08Kncsn4VUM9lc7eAIoJ3Uk","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.lotusworld.in/&size=48","https://search.google.com/local/reviews?placeid=ChIJi6h3o5HlmzkR-zQasfdRnrc&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/sharer/sharer.php?u=https://lotusworld.in/post/ukg-a-class-making-cards-for-their-mothers-mother-day-activity-18","https://www.linkedin.com/"," ","https://www.instagram.com/lotus_world_public_school/","https://youtube.com","Lotus World Public School","Lotus World Public School","0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcI8AUoGQ","Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating | Wheelchair-accessible toilet","Affiliated with CBSE  | Affiliated with CISCE ",,,,"Gender-neutral toilets","LGBTQ+ friendly"
"685","Schools in lucknow","Banyan Tree School","RXXX+X27  Vikas Khand Rd  Vikaskhand 2  Vikas Khand  Gomti Nagar  Lucknow  Uttar Pradesh 226010","RXXX+X27","Lucknow","226010","Vikas Khand Rd","Uttar Pradesh","IN","Asia/Calcutta","बन्यॉन ट्री स्कूल","05224003803","0522 400 3803"," "," ",,,"School"," ","No","11","4.5","open","Wednesday, 9 am-5:30 pm; Thursday, 9 am-5:30 pm; Friday, 9 am-5:30 pm; Saturday, 9 am-5:30 pm; Sunday, Closed; Monday, 9 am-5:30 pm; Tuesday, 9 am-5:30 pm; ","9 am-5:30 pm","Closed","9 am-5:30 pm","9 am-5:30 pm","9 am-5:30 pm","9 am-5:30 pm","9 am-5:30 pm","Lat 26.8499117","Lng 80.9975405","26.8499117,80.9975405","7MR2RXXX+X27","ChIJn9Oq38_imzkRrfzRTtHFa5U"," ","https://www.google.com/maps/place/?q=place_id:ChIJn9Oq38_imzkRrfzRTtHFa5U","10766916836920523949","https://www.google.com/search?kgmid=/g/11b6xx_143","/g/11b6xx_143","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICkzsTSQw"," ","https://search.google.com/local/reviews?placeid=ChIJn9Oq38_imzkRrfzRTtHFa5U&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcICygG","Wheelchair-accessible entrance",,,,,,
"686","Schools in lucknow","G D Goenka Public School  Mahanagar | Toddler & Primary School Admissions open","VXC7+PWM  B-930  opp. Kukrail Bandh Road  Mahanagar  Lucknow  Uttar Pradesh 226006","VXC7+PWM","Lucknow","226006","B-930","Uttar Pradesh","IN","Asia/Calcutta","जी डी गोयनका पब्लिक स्कूल, महानगर","09984444091","099844 44091",,,"https://mahanagar.gdgoenkalko.com/","mahanagar.gdgoenkalko.com","Preschool","CBSE School","Yes","94","4.2","open","Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Closed; Monday, Open 24 hours; Tuesday, Open 24 hours; ","Open 24 hours","Closed","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Lat 26.8733735","Lng 80.96513449999999","26.8733735,80.96513449999999","7MR2VXF8+83R","ChIJCW7ZgWf9mzkRvenZOCdvhIA"," ","https://www.google.com/maps/place/?q=place_id:ChIJCW7ZgWf9mzkRvenZOCdvhIA","9260648948028795325","https://www.google.com/search?kgmid=/g/11bcf12jsy","/g/11bcf12jsy","https://lh5.googleusercontent.com/p/AF1QipMY6YkZuXpYP60AMpB5_4v5UlvG-Fu6RI_G22I","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://mahanagar.gdgoenkalko.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJCW7ZgWf9mzkRvenZOCdvhIA&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcINCgH","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ",,"Appointment required",,,
